\psi,\psi^{'},e_{0},e_{1}^{'},F_{2} e_{2},F_{3} e_{3},F_{\alpha} e_{\alpha}^{'},F_{\beta} e_{\beta}^{'},e_{\gamma}^{'},F_{2}^{'} t_{2}^{'},F_{3}^{'} t_{3},F_{4} t_{4},F_{6} t_{6},F_{7} t_{7},F_{8} t_{8},F_{11} t_{11},F_{12} t_{12},F_{14} t_{14},F_{15} t_{15},F_{16} t_{16},F_{17} t_{17},F_{18} t_{18},F_{19} t_{19}
4S,4S,3,-27,0,0,0,12,-3,0,288,0,0,0,0,18,0,-72,0,0,0,0,0
4D,4D,3,-27,0,231,-77,-2,-3,847,8,-8008,0,0,0,-3,-154,-2,2002,0,0,0,0
4F,4F,3,-27,0,0,0,6,-3,0,-72,0,0,0,0,9,0,18,0,0,0,0,0
4G,4G,3,-27,0,84,-28,-2,-3,308,8,7280,0,0,0,-3,-56,-2,-1820,0,0,0,0
4I,4I,3,-27,0,-147,49,-2,-3,-539,8,-1960,0,0,0,-3,98,-2,490,0,0,0,0
2P,2P,3,12,0,-77,-231,6,3,-154,-48,0,-30030,0,0,-6,-77,-48,0,-462,0,165,0
2D1,2D1,3,12,-858,-33,-209,4,3,-176,32,-1144,12870,10296,0,-4,-33,32,-1144,-66,-1144,165,-1716
2D1,2D2,0,0,-468(33).5,24(33).5,12(33).5,0,0,-12(33).5,0,468(33).5,-624(33).5,156(33).5,0,0,24(33).5,0,468(33).5,48(33).5,-78(33).5,12(33).5,429(33).5
2D2,2D2,3,12,1131,12,-309,-3,3,-321,-3,3237,-1677,-1833,4641,3,12,-3,3237,171,-1131,-54,-2106
2F1,2F1,3,90,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2F1,2F2,0,0,0,-42(22).5,-21(22).5,0,0,231(22).5,0,0,0,0,0,0,63(22).5,0,0,0,0,0,0
2F2,2F2,3,12,1365,231,-147,-3,3,-378,-3,1365,1365,-1365,-3315,3,231,-3,1365,-189,-1365,-45,0
2G1,2G1,3,12,780,-12,-76,4,3,-64,32,1040,4680,-9360,0,-4,-12,32,1040,-24,1040,60,1560
2G1,2G2,0,0,24(4290).5,2(4290).5,(4290).5,0,0,-(4290).5,0,-24(4290).5,-52(4290).5,-8(4290).5,0,0,2(4290).5,0,-24(4290).5,4(4290).5,4(4290).5,(4290).5,-22(4290).5
2G2,2G2,3,12,-1683,187,-99,-3,3,-286,-3,-2475,1221,1947,1309,3,187,-3,-2475,-165,1683,-33,792
2H1,2H1,3,12,0,21,63,6,3,42,-48,0,8190,0,0,-6,21,-48,0,126,0,-45,0
2H1,2H2,0,0,84(455).5,0,0,0,0,0,0,84(455).5,0,252(455).5,0,0,0,0,84(455).5,0,42(455).5,0,63(455).5
2H2,2H2,3,12,147,-168,-189,-3,3,-21,-3,-1995,-2709,567,-1071,3,-168,-3,-1995,315,-147,-18,2142
2I,2I,3,12,-210,21,133,4,3,112,32,-280,-8190,2520,0,-4,21,32,-280,42,-280,-105,-420
2K,2K,3,12,-945,-77,84,-3,3,161,-3,1827,-252,21,-1071,3,-77,-3,1827,42,945,21,-2772
2L,2L,3,12,735,-21,252,-3,3,273,-3,-525,1260,-315,945,3,-21,-3,-525,-126,-735,45,1260